,business_id,categories,city,latitude,longitude,name,review_count,stars
0,2rgQ1TULwVoY7TnUlnH7Yw,"[Asian Fusion, Chinese, Japanese, Restaurants]",Charlotte,35.2949318,-80.7474815,Taiyo Pacific and Sushi Bar,5,4.0
1,XaTts7L8g57_odPEFuwkOw,"[Chinese, Restaurants]",Pittsburgh,40.4426201,-79.8854317,Chen's Wok,3,3.5
2,K0VNhFhaOrO3CypCqofjwA,"[Restaurants, Chinese]",Charlotte,35.0482549,-80.8162405,MA MA Wok,25,3.0
3,98gLNkYYJCg4f_uJ7o2wBg,"[Restaurants, Chinese]",Charlotte,35.220624,-80.8098575,Hong Kong,16,2.5
4,5aGYZbjkXpCecz4QH2ZKFg,"[Chinese, Buffets, Restaurants]",Charlotte,35.1457297,-80.9365337,Dragon Buffet,59,3.5
5,SBPttAVjzEnN3VE6sKiaMg,"[Restaurants, Chinese]",Charlotte,35.061319,-80.814423,Jo Jo China Bistro,35,3.5
6,Oy2WnPyiOlPFvPKMIuOC8w,"[Restaurants, Asian Fusion, Japanese, Food Delivery Services, Korean, Food, Chinese, Buffets]",Charlotte,35.0950429,-80.864143,Tin Tin,173,3.0
7,5li4Wxd__uYGrgB8_n_uzw,"[Chinese, Restaurants]",Charlotte,35.3026124,-80.9872958,Bamboo Garden,9,3.5
8,Iy-UNkwa3j9MSeG_SZhUvg,"[Health & Medical, Acupuncture, Traditional Chinese Medicine]",Pittsburgh,40.4344721,-79.923045,Jennifer Whiteside,3,5.0
9,YjPWt-V5oMkakdRWrALb8g,"[Ethnic Food, Specialty Food, Restaurants, Chinese, Dim Sum, Food, Imported Food]",Charlotte,35.1626388384,-80.7380765199,Honey Bun's Cafeteria,27,4.0
10,BIqsItY0vyOshMpJ0I4cPg,"[Chinese, Restaurants]",Pittsburgh,40.4378528,-79.9195345,How Lee Chinese Food,194,4.0
11,Y24q_yO23zqY_y-QWOX-XA,"[Seafood, Diners, Greek, Chinese, American (New), Food, Restaurants]",Charlotte,35.35253,-80.851337,Showmars - Northlake Mall,5,3.5
12,N2M0WyGCyTV5jMOYPH7odA,"[Chinese, Asian Fusion, Restaurants, Sushi Bars, Japanese]",Charlotte,35.117274,-80.856801,Umai Sushi & Asian Bistro,68,4.0
13,tLSgXuy0g8nxX6Xgb7nvrw,"[Restaurants, Chinese]",Charlotte,35.3171014,-80.74022,Lotus Buffet,31,3.0
14,-Is6Ney1wmsJAjvDdkaaaQ,"[Restaurants, Chinese]",Pittsburgh,40.4426682,-79.8856765,New Lucky,4,3.0
15,X4CRPHvv-33kjxVJISZpUg,"[Sushi Bars, Chinese, Restaurants]",Pittsburgh,40.4454519,-79.9485255,Little Asia,75,2.5
16,sReFrTIJ92iDprWD8dKAuw,"[Chinese, Szechuan, Restaurants]",Pittsburgh,40.4268042,-80.0551196,Phong May House,21,3.0
17,ZJufvkLNtlAsQU9h_ttdNg,"[Chinese, Restaurants]",Charlotte,35.319499,-80.952736,Chinatown,12,2.0
18,USninqjSauwQQ2T_FlkIMw,"[Chinese, Cocktail Bars, Sushi Bars, Restaurants, American (New), Asian Fusion, Bars, Nightlife]",Pittsburgh,40.4287193,-79.9769083,M&J Bistro,3,4.5
19,7Nz4kTghhicjsR23GYMlLg,"[Chinese, Restaurants]",Charlotte,35.1068968,-80.8068567,Jade Dragon,49,4.0
20,pe20N--YSUZlKYa-WaSfJA,"[Restaurants, Chinese, Buffets, Japanese, Sushi Bars]",Charlotte,35.1972547,-80.7693723,China Buffet,45,3.5
21,HzGeL_H3rkm5W9DkN9FQBw,"[Restaurants, Chinese]",Charlotte,35.2158469,-80.883922,Golden Wok,3,3.5
22,pRfIJ6zurjEsWmJheDOP6A,"[Japanese, Chinese, Restaurants]",Pittsburgh,40.3434382,-79.9690533,Pan Asia,23,3.5
23,YaGkCO51sV6MLavJ3XUmWw,"[Chinese, Restaurants]",Charlotte,35.1725655325,-80.7087398215,China Fun,15,3.0
